Time (s),Channel 2 (V),Channel 1 (V)
-0.0002544,3.190609244,3.353970381
-0.00025408,3.194801197,3.346931064
-0.00025376,3.202710543,3.341394522
-0.00025344,3.210540795,3.337202569
-0.00025312,3.217184645,3.334671578
-0.0002528,3.224144869,3.332456961
-0.00025248,3.231658747,3.330637812
-0.00025216,3.238618971,3.32921413
-0.00025184,3.243918233,3.328423195
-0.00025152,3.249454775,3.327553167
-0.0002512,3.254912223,3.326366765
-0.00025088,3.259816017,3.32510127
-0.00025056,3.265036186,3.323835775
-0.00025024,3.267488083,3.322174812
-0.00024992,3.265431653,3.321146597
-0.0002496,3.262109728,3.319722915
-0.00024928,3.259025083,3.319248354
-0.00024896,3.255624064,3.31845742
-0.00024864,3.251827578,3.316559177
-0.00024832,3.248505653,3.314898214
-0.000248,3.244867354,3.313949093
-0.00024768,3.239805373,2.778486402
-0.00024736,3.236008887,3.267995795
-0.00024704,3.232054215,3.267758515
-0.00024672,3.227229514,3.262775627
-0.0002464,3.222246626,3.254549908
-0.00024608,3.218133767,3.254470814
-0.00024576,3.213783627,3.260165543
-0.00024544,3.209038019,3.267837608
-0.00024512,3.204529692,3.27724973
-0.0002448,3.200495926,3.286820038
-0.00024448,3.196066693,3.296469439
-0.00024416,3.191795646,3.30588156
-0.00024384,3.187840973,3.31434456
-0.00024352,3.18341174,3.321462971
-0.0002432,3.178112478,3.327078606
-0.00024288,3.173999619,3.33150784
-0.00024256,3.170044946,3.334592485
-0.00024224,3.165773899,3.337756223
-0.00024192,3.162214694,3.340129026
-0.0002416,3.158734582,3.342660017
-0.00024128,3.154859003,3.344004606
-0.00024096,3.152169825,3.344637353
-0.00024064,3.149243367,3.345349194
-0.00024032,3.146949657,3.345981942
-0.00024,3.144339573,3.347010157
-0.00023968,3.142520424,3.347801092
-0.00023936,3.140780368,3.349541148
-0.00023904,3.140068526,3.350806643
-0.00023872,3.139673059,3.351993045
-0.0002384,3.139673059,3.353574914
-0.00023808,3.140859461,3.354603129
-0.00023776,3.141492209,3.355868624
-0.00023744,3.143390452,3.356896839
-0.00023712,3.144972321,3.358162334
